time,open,high,low,close,volume
2023-11-07,58.08,58.28,57.69,57.95,1343408
2023-11-08,57.88,60.77,57.75,60.77,2947501
2023-11-09,60.38,61.23,60.25,60.71,2114138
2023-11-10,60.05,60.84,59.92,60.05,2409873
2023-11-13,60.11,60.38,59.39,59.98,1534993
2023-11-14,60.38,61.3,59.92,60.77,2000413
2023-11-15,61.49,61.56,60.38,60.64,2420392
2023-11-16,60.51,61.03,60.11,61.03,1908811
2023-11-17,61.3,61.36,59.46,59.72,3572003
2023-11-20,59.13,60.77,58.47,59.52,1659285
2023-11-21,60.38,60.38,59.52,60.31,1462987
2023-11-22,60.31,61.1,60.31,61.03,3274558
2023-11-23,61.23,61.49,59.59,59.59,2168399
2023-11-24,59.59,60.38,59.2,59.85,2251338
2023-11-27,59.98,59.98,59.13,59.52,1661825
2023-11-28,59.59,60.31,59.0,59.79,1092670
2023-11-29,60.11,60.38,59.79,60.18,804163
2023-11-30,59.98,61.49,59.92,60.31,1984701
2023-12-01,60.51,60.97,59.92,60.64,1192386
2023-12-04,60.77,61.69,60.77,61.43,3466947
2023-12-05,61.56,62.87,61.49,62.21,3596254
2023-12-06,62.35,62.61,61.76,62.35,1223469
2023-12-07,62.41,62.54,60.9,61.89,3765052
2023-12-08,61.89,62.41,61.36,61.82,1747729
2023-12-11,62.67,62.81,62.08,62.35,1567612
2023-12-12,62.61,63.53,62.54,63.53,4090519
2023-12-13,63.92,63.92,62.48,62.48,2152046
2023-12-14,62.87,63.26,62.48,63.13,1715423
2023-12-15,63.13,63.2,62.35,63.13,1477484
2023-12-18,62.94,63.13,61.49,61.69,2269177
2023-12-19,61.62,62.08,61.43,62.08,1253010
2023-12-20,61.89,62.35,61.76,62.15,1351472
2023-12-21,62.08,62.41,61.69,62.41,1758872
2023-12-22,62.35,62.41,61.95,62.08,1276887
2023-12-25,62.28,63.13,62.21,63.0,2019931
2023-12-26,63.33,64.71,63.26,63.79,3364283
2023-12-27,63.92,64.18,63.59,63.59,1359748
2023-12-28,63.66,63.66,63.2,63.4,1199164
2023-12-29,63.4,63.66,63.07,63.07,1869204
2024-01-02,63.59,63.59,62.81,62.94,1717109
2024-01-03,62.74,63.33,62.61,63.2,1439581
2024-01-04,63.2,64.58,63.13,63.79,2978466
2024-01-05,63.86,63.99,63.33,63.92,1140908
2024-01-08,63.92,64.51,63.72,63.86,1446808
2024-01-09,63.86,63.86,63.4,63.4,1213774
2024-01-10,63.46,63.59,62.02,62.15,3309732
2024-01-11,62.15,62.61,62.15,62.35,1373914
2024-01-12,62.21,62.74,61.76,62.15,2602405
2024-01-15,62.35,62.94,62.28,62.61,1315058
2024-01-16,62.15,62.81,62.15,62.81,811904
2024-01-17,62.74,63.0,62.35,62.81,1416305
2024-01-18,62.81,63.0,62.48,62.74,1139263
2024-01-19,63.0,63.59,62.81,63.2,1495663
2024-01-22,63.53,63.53,62.87,63.26,1110387
2024-01-23,63.07,63.26,62.61,62.74,1482899
2024-01-24,62.87,62.87,62.28,62.35,1725114
2024-01-25,62.41,62.81,62.21,62.41,847088
2024-01-26,62.67,63.13,62.54,62.94,927816
2024-01-29,62.94,63.07,62.54,62.94,1062382
2024-01-30,62.94,62.94,62.61,62.74,950876
2024-01-31,62.74,63.0,62.67,62.81,1383416
2024-02-01,62.94,65.56,62.81,65.56,7803177
2024-02-02,65.76,67.07,65.69,66.94,2885879
2024-02-05,66.94,68.32,66.87,67.92,2701349
2024-02-06,67.99,68.91,67.53,68.32,1890491
2024-02-07,68.71,68.91,68.19,68.84,2130668
2024-02-15,69.04,69.24,68.12,68.25,2254547
2024-02-16,68.25,68.97,68.12,68.97,2070089
2024-02-19,69.24,70.22,68.91,68.91,2037643
2024-02-20,69.04,69.04,68.25,68.45,1848111
2024-02-21,68.25,70.16,67.92,69.5,3141692
2024-02-22,69.5,69.57,68.65,68.65,1722092
2024-02-23,69.24,70.02,67.79,68.19,4108378
2024-02-26,68.19,70.88,67.92,70.88,4472548
2024-02-27,71.21,71.86,70.48,70.81,2807162
2024-02-28,70.88,71.21,69.76,71.21,3466729
2024-02-29,71.01,71.8,70.68,71.53,2829302
2024-03-01,71.67,73.11,71.6,72.72,4028406
2024-03-04,72.85,73.37,72.72,73.11,3092985
2024-03-05,73.11,73.11,72.12,72.65,3390992
2024-03-06,72.19,72.45,71.14,71.6,3710122
2024-03-07,71.6,74.75,71.01,73.04,4044840
2024-03-08,73.04,73.9,71.86,72.19,3122548
2024-03-11,72.19,74.49,72.19,72.19,3389872
2024-03-12,72.19,74.49,72.19,73.44,2912964
2024-03-13,74.03,76.78,73.5,76.78,5125138
2024-03-14,77.77,77.77,75.93,76.78,3472473
2024-03-15,76.65,76.65,75.14,76.13,3846741
2024-03-18,76.0,76.0,72.91,74.16,5898676
2024-03-19,74.16,74.16,72.91,73.5,3324749
2024-03-20,73.7,75.47,72.91,75.14,3483551
2024-03-21,75.6,76.26,75.21,76.26,3762372
2024-03-22,76.32,76.32,75.14,75.41,2420313
2024-03-25,74.88,75.54,74.68,74.82,2799669
2024-03-26,74.82,75.8,74.55,75.47,1696761
2024-03-27,75.27,75.67,74.88,75.6,1323812
2024-03-28,76.06,77.05,75.67,76.85,2808951
2024-03-29,76.39,76.92,76.13,76.46,1346605
2024-04-01,76.13,77.18,75.6,76.65,1980689
2024-04-02,75.73,76.78,75.73,76.78,2289100
2024-04-03,76.19,76.78,75.54,75.54,2555654
2024-04-04,75.47,76.0,74.82,74.82,2369065
2024-04-05,74.22,75.27,73.9,74.62,2764447
2024-04-08,74.62,74.62,73.9,73.9,1957677
2024-04-09,73.9,74.29,73.83,74.16,1437679
2024-04-10,74.49,75.87,74.36,74.68,1795600
2024-04-11,74.49,75.73,74.36,75.41,1553032
2024-04-12,76.06,76.06,75.01,75.8,1371708
2024-04-15,75.8,75.87,73.17,73.24,3709209
2024-04-16,73.5,74.29,73.17,74.16,3651849
2024-04-17,74.22,74.22,73.24,73.37,1949454
2024-04-19,72.52,72.98,71.53,71.53,5373515
2024-04-22,72.19,73.11,71.47,72.39,2403688
2024-04-23,72.78,74.36,72.12,73.7,4041971
2024-04-24,74.55,78.82,74.29,78.82,10179208
2024-04-25,80.39,84.0,80.0,80.85,5718864
2024-04-26,80.72,82.3,80.2,80.85,3402188
2024-05-02,81.25,84.66,81.05,83.54,3477702
2024-05-03,84.07,84.27,82.43,82.63,3199400
2024-05-06,83.02,83.74,81.71,83.74,2710850
2024-05-07,84.0,86.37,83.48,86.17,3130425
2024-05-08,85.38,85.97,84.86,85.97,3024432
2024-05-09,85.71,87.15,85.32,85.51,2208946
2024-05-10,86.17,86.76,84.79,85.97,3797696
2024-05-13,86.17,86.3,84.53,85.12,1857811
2024-05-14,85.32,86.43,85.05,85.64,2309312
2024-05-15,86.3,88.27,86.17,88.01,3659473
2024-05-16,88.99,90.11,88.07,88.86,3128143
2024-05-17,88.86,89.25,87.74,88.27,2314616
2024-05-20,88.73,89.32,87.28,87.28,2020789
2024-05-21,87.94,89.25,87.61,89.25,3478265
2024-05-22,90.5,91.68,89.32,90.57,4522916
2024-05-23,90.24,90.43,88.6,90.24,3630410
2024-05-24,90.57,90.57,85.71,86.56,13398023
2024-05-27,87.28,87.61,85.71,87.15,5172903
2024-05-28,87.94,89.91,87.35,89.91,4632228
2024-05-29,89.98,90.7,88.47,89.06,5844515
2024-05-30,87.81,88.6,86.56,88.6,7273584
2024-05-31,88.6,89.78,87.81,88.33,2639516
2024-06-03,88.6,90.3,88.4,89.84,7782256
2024-06-04,91.22,91.42,90.43,91.29,7019713
2024-06-05,91.88,95.09,91.68,91.94,6336780
2024-06-06,92.08,92.99,91.09,91.62,5222139
2024-06-07,92.53,93.19,92.21,93.19,3762372
2024-06-10,94.18,95.16,93.85,94.5,3785656
2024-06-11,94.7,96.14,93.91,96.14,6340276
2024-06-12,97.2,100.84,97.12,100.31,11246768
2024-06-13,101.6,101.68,98.79,98.79,8167546
2024-06-14,98.87,100.77,98.03,99.55,6425220
2024-06-17,99.55,99.85,97.65,97.88,4890848
2024-06-18,97.88,98.56,97.27,97.27,6694763
2024-06-19,97.27,100.92,96.21,99.93,9684926
2024-06-20,101.07,103.12,100.16,101.3,10482529
2024-06-21,101.75,103.43,101.3,103.43,7663338
2024-06-24,102.59,102.97,100.31,100.39,13202385
2024-06-25,99.55,99.63,97.73,98.79,13723703
2024-06-26,99.55,100.16,98.33,100.16,7158131
2024-06-27,99.78,101.91,99.4,100.92,6409612
2024-06-28,100.92,100.92,99.09,99.17,6641381
2024-07-01,99.09,99.09,97.65,97.73,6386361
2024-07-02,97.73,100.39,96.89,97.27,6735345
2024-07-03,99.17,100.92,98.87,99.55,7642345
2024-07-04,100.39,103.2,100.39,103.2,8129152
2024-07-05,103.43,106.16,103.43,105.4,7807749
2024-07-08,105.25,106.09,104.49,106.09,5876745
2024-07-09,105.71,105.86,103.35,104.49,9689262
2024-07-10,103.35,104.11,101.83,101.83,6309470
2024-07-11,101.91,102.89,100.69,101.07,6857179
2024-07-12,100.46,103.35,100.46,101.68,3562395
2024-07-15,101.45,102.44,100.54,100.84,3074934
2024-07-16,101.53,102.21,100.54,101.83,4007693
2024-07-17,101.83,101.91,98.71,100.23,6980219
2024-07-18,99.85,99.85,97.12,97.2,10828773
2024-07-19,97.73,98.26,95.75,95.75,6581002
2024-07-22,95.75,95.75,93.62,94.31,6242427
2024-07-23,94.92,96.89,94.84,95.37,5323805
2024-07-24,95.37,96.21,94.23,95.75,4160841
2024-07-25,94.38,95.37,94.31,94.99,2569074
2024-07-26,95.68,97.27,94.54,97.27,3959362
