time,open,high,low,close,volume
2023-11-07,65.76,66.93,65.35,65.6,310197
2023-11-08,65.35,66.59,64.93,66.59,504909
2023-11-09,66.59,66.93,65.76,66.59,628544
2023-11-10,65.76,66.59,65.35,65.51,525995
2023-11-13,65.76,66.18,65.43,65.76,307123
2023-11-14,66.01,66.34,65.35,65.84,446339
2023-11-15,66.26,67.18,66.26,66.68,824597
2023-11-16,66.51,66.59,65.76,66.59,652563
2023-11-17,66.26,66.34,65.18,65.51,779931
2023-11-20,64.68,65.68,64.6,65.18,575036
2023-11-21,65.6,65.84,65.18,65.76,380971
2023-11-22,65.76,66.01,65.26,65.76,483253
2023-11-23,65.84,65.93,64.1,64.1,612482
2023-11-24,64.18,64.6,63.26,64.51,626236
2023-11-27,64.68,64.68,63.68,63.93,405014
2023-11-28,63.68,64.1,63.1,64.1,527517
2023-11-29,63.85,64.93,63.76,64.76,597375
2023-11-30,64.85,65.18,63.68,63.68,466561
2023-12-01,64.1,64.85,63.76,64.68,493376
2023-12-04,64.76,65.84,64.68,65.76,785341
2023-12-05,65.76,66.51,65.51,65.76,662868
2023-12-06,65.76,66.43,65.68,66.43,481091
2023-12-07,66.09,66.18,64.51,64.85,858080
2023-12-08,65.01,65.51,64.51,64.6,886067
2023-12-11,65.43,65.43,64.76,65.18,695214
2023-12-12,65.18,65.26,64.85,65.1,472065
2023-12-13,65.1,65.1,63.93,64.01,1121325
2023-12-14,64.01,64.68,63.85,64.01,403989
2023-12-15,64.01,64.01,63.26,63.26,807520
2023-12-18,63.26,63.35,62.85,62.85,616593
2023-12-19,62.43,62.77,61.77,62.43,887468
2023-12-20,62.85,62.85,62.27,62.6,574287
2023-12-21,62.43,62.52,61.93,62.18,728928
2023-12-22,62.35,62.6,61.85,62.18,617722
2023-12-25,62.18,63.85,62.18,63.68,1057401
2023-12-26,63.85,63.85,63.01,63.6,756305
2023-12-27,63.6,63.85,63.35,63.51,707087
2023-12-28,63.6,63.6,62.93,63.26,767974
2023-12-29,63.43,63.51,62.85,62.85,1036114
2024-01-02,63.1,63.51,62.85,62.93,694239
2024-01-03,62.85,63.26,62.77,63.26,569882
2024-01-04,63.26,64.43,63.26,63.85,1509345
2024-01-05,64.1,64.43,64.1,64.26,1078228
2024-01-08,64.35,64.76,63.68,63.93,1023970
