time,open,high,low,close,volume
2023-11-07,82.3,82.54,80.84,81.54,886687
2023-11-08,81.61,87.23,80.07,86.92,1000007
2023-11-09,86.92,86.92,83.38,83.38,922222
2023-11-10,82.69,84.61,81.15,83.84,934843
2023-11-13,83.84,83.84,81.61,83.07,1040830
2023-11-14,83.46,83.92,81.92,82.92,850621
2023-11-15,83.07,85.07,82.77,83.61,921536
2023-11-16,82.77,83.84,82.3,83.46,902207
2023-11-17,83.61,84.23,80.0,81.15,903519
2023-11-20,81.3,83.84,79.61,81.3,1043479
2023-11-21,81.54,82.0,80.46,82.0,885700
2023-11-22,82.23,83.3,80.77,83.23,781231
2023-11-23,83.46,83.77,80.77,80.77,835630
2023-11-24,81.46,82.54,80.07,81.77,874886
2023-11-27,81.77,82.23,77.69,81.54,747810
2023-11-28,81.84,82.61,81.07,81.92,728790
2023-11-29,82.15,82.77,81.07,82.15,830329
2023-11-30,81.54,82.15,78.46,78.46,1000549
2023-12-01,80.38,81.07,78.46,81.07,691780
2023-12-04,81.3,82.77,80.0,81.38,866597
2023-12-05,81.38,81.46,79.84,80.84,902096
2023-12-06,81.3,81.54,80.3,81.38,774377
2023-12-07,79.84,81.54,78.84,81.3,965123
2023-12-08,81.3,81.3,79.84,80.15,816463
2023-12-11,80.23,80.38,78.3,80.15,718135
2023-12-12,80.3,80.69,78.54,80.38,758100
2023-12-13,80.61,80.77,79.38,80.77,1061642
2023-12-14,80.92,81.3,80.61,81.0,784032
2023-12-15,81.0,81.15,79.23,79.23,893011
2023-12-18,80.69,80.77,78.46,80.77,727085
2023-12-19,80.77,80.77,79.77,80.23,728655
2023-12-20,80.23,80.77,79.3,80.23,1257541
2023-12-21,80.0,81.69,79.92,81.0,750304
2023-12-22,81.15,81.69,80.84,81.69,709095
2023-12-25,82.07,82.92,81.92,82.92,777011
2023-12-26,83.07,83.23,82.69,83.07,901815
2023-12-27,83.15,83.15,82.69,83.0,1381274
2023-12-28,82.92,83.07,81.84,83.07,1594766
2023-12-29,83.07,83.07,82.3,83.07,2055732
2024-01-02,83.07,83.3,82.15,82.3,930059
2024-01-03,82.3,82.84,81.07,82.84,882544
2024-01-04,83.0,83.07,81.07,82.92,667850
2024-01-05,83.0,83.07,81.69,82.77,633231
2024-01-08,82.92,82.92,81.69,82.0,626459
2024-01-09,81.84,82.07,80.92,81.92,628722
2024-01-10,82.07,82.07,80.23,81.3,670370
2024-01-11,81.46,81.54,80.54,81.38,617093
2024-01-12,81.23,81.38,79.92,81.0,659393
2024-01-15,81.0,81.38,80.15,80.92,613446
2024-01-16,80.38,81.07,80.23,81.07,732518
2024-01-17,81.07,81.07,79.92,80.46,735904
2024-01-18,80.46,80.77,79.77,80.23,698312
2024-01-19,80.23,80.92,80.23,80.77,613159
2024-01-22,80.77,81.38,80.69,81.23,631265
2024-01-23,81.23,81.38,79.61,80.77,701603
2024-01-24,80.77,81.15,79.84,80.54,660090
2024-01-25,80.61,80.77,80.38,80.69,615310
2024-01-26,80.38,81.38,80.38,81.3,678797
2024-01-29,81.46,81.54,81.0,81.38,621393
2024-01-30,81.46,81.54,81.15,81.23,622681
2024-01-31,81.23,81.38,79.69,80.46,644993
2024-02-01,80.46,81.15,80.0,81.15,610924
2024-02-02,81.3,81.3,80.3,80.61,622558
2024-02-05,80.61,81.07,79.84,81.0,670758
2024-02-06,81.15,81.15,80.38,80.38,617672
2024-02-07,80.54,81.0,80.23,81.0,615858
2024-02-15,81.07,81.15,80.0,80.38,691086
2024-02-16,80.38,81.0,80.3,81.0,635456
2024-02-19,81.46,81.54,80.3,80.92,615677
2024-02-20,80.77,80.92,80.23,80.23,649014
2024-02-21,80.23,80.38,79.38,79.38,658239
2024-02-22,79.38,80.54,79.38,79.69,621539
2024-02-23,79.84,80.3,79.54,79.84,671068
2024-02-26,79.92,80.69,79.92,80.38,605863
2024-02-27,80.61,80.61,79.61,79.61,647962
2024-02-28,79.61,80.54,79.46,79.54,639027
2024-02-29,79.69,80.23,79.3,79.3,728828
2024-03-01,79.84,80.23,79.38,79.46,651007
2024-03-04,79.61,80.15,79.46,79.69,669502
2024-03-05,80.0,80.3,79.61,80.3,552695
2024-03-06,80.3,80.38,79.38,79.92,470841
2024-03-07,79.92,80.0,79.46,79.92,590577
2024-03-08,80.0,80.15,79.3,79.77,636750
2024-03-11,79.61,80.07,79.23,79.23,613814
2024-03-12,79.61,79.61,78.46,78.84,658966
2024-03-13,79.15,79.69,78.46,78.61,671922
2024-03-14,79.15,79.15,77.69,78.46,696331
2024-03-15,78.38,79.15,77.3,79.0,706078
2024-03-18,79.0,79.23,77.3,78.3,618703
2024-03-19,78.3,78.46,76.92,77.69,590560
2024-03-20,78.07,78.46,77.0,77.84,690781
2024-03-21,78.23,79.3,77.84,78.92,741529
2024-03-22,78.92,79.23,78.07,78.61,600034
2024-03-25,78.46,78.61,77.46,77.46,629030
2024-03-26,77.07,78.92,77.07,78.38,664906
2024-03-27,78.23,79.3,77.69,79.23,707899
2024-03-28,79.23,79.38,78.23,79.38,635698
2024-03-29,79.54,79.54,78.77,79.23,664365
2024-04-01,79.3,79.3,78.46,79.0,719350
2024-04-02,78.38,79.23,78.0,79.23,815355
2024-04-03,78.92,79.38,77.61,78.61,871602
2024-04-04,78.69,79.3,78.46,78.61,810375
2024-04-05,78.61,79.23,77.92,78.38,750438
2024-04-08,78.77,78.84,77.3,77.77,801136
2024-04-09,77.77,78.77,77.77,78.61,804268
2024-04-10,78.84,78.84,77.69,78.46,902957
2024-04-11,78.07,78.46,77.54,77.69,947641
2024-04-12,77.92,82.61,77.69,82.3,1506917
2024-04-15,82.0,82.0,80.61,81.46,1102545
2024-04-16,81.38,82.54,80.0,81.54,1023352
2024-04-17,81.61,81.61,78.38,79.54,1099407
2024-04-19,78.46,79.69,78.46,79.46,947587
2024-04-22,79.46,80.15,78.54,79.46,811165
2024-04-23,80.0,80.0,77.69,79.07,1110656
2024-04-24,79.38,79.84,78.92,79.61,897387
2024-04-25,79.84,79.84,78.07,79.61,904861
2024-04-26,79.23,80.0,78.38,80.0,903686
2024-05-02,80.0,80.15,78.61,79.92,827826
2024-05-03,80.0,82.0,79.3,81.54,1092861
2024-05-06,81.69,87.23,81.69,87.23,1740007
2024-05-07,87.69,91.3,87.69,91.23,1561749
2024-05-08,90.69,90.69,88.92,90.3,1227133
2024-05-09,90.3,91.46,89.23,90.69,1131907
2024-05-10,90.69,90.77,89.07,89.92,925026
2024-05-13,90.0,92.0,88.84,91.38,1050708
2024-05-14,91.53,91.53,89.69,90.0,1080061
2024-05-15,89.69,91.07,89.69,90.23,1319760
2024-05-16,90.38,90.61,89.23,90.38,1114252
2024-05-17,90.61,91.84,89.77,90.3,995774
2024-05-20,90.53,90.61,88.15,88.15,1006391
2024-05-21,88.15,88.23,85.38,86.54,920756
2024-05-22,86.77,87.84,83.92,83.92,1178099
2024-05-23,84.07,86.0,83.84,85.69,840594
2024-05-24,85.38,85.38,83.07,83.07,776587
2024-05-27,83.3,84.15,82.84,83.84,638563
2024-05-28,84.54,84.54,83.46,84.3,687014
2024-05-29,84.3,84.38,82.54,83.0,816191
2024-05-30,82.3,83.38,82.3,82.3,662357
2024-05-31,82.69,83.69,82.38,82.38,719504
2024-06-03,82.92,84.46,82.54,83.61,940559
2024-06-04,83.84,83.84,83.0,83.38,695604
2024-06-05,83.84,84.15,83.07,83.07,785983
2024-06-06,83.15,84.46,82.92,83.54,952286
2024-06-07,83.77,84.0,83.07,83.84,993018
2024-06-10,83.84,85.61,83.54,83.84,1074943
2024-06-11,83.84,83.84,81.07,81.38,1532905
2024-06-12,81.46,81.77,80.38,81.77,1089458
2024-06-13,82.0,82.0,81.0,81.54,835050
2024-06-14,81.54,81.69,80.0,80.61,1184371
2024-06-17,80.69,81.07,80.0,80.61,660534
2024-06-18,80.69,80.77,80.07,80.46,894107
2024-06-19,80.61,80.61,78.46,79.46,1366859
2024-06-20,79.3,79.92,78.69,79.84,1082207
2024-06-21,79.92,80.0,78.38,78.84,1211056
2024-06-24,78.77,79.23,77.61,78.15,916214
2024-06-25,78.15,78.46,77.61,78.15,788287
2024-06-26,78.38,78.46,77.77,78.15,816270
2024-06-27,78.15,78.54,77.46,78.46,853155
2024-06-28,78.46,78.54,77.46,78.07,789852
2024-07-01,77.77,78.23,76.69,77.46,933971
2024-07-02,77.69,77.84,76.69,77.69,1084092
2024-07-03,77.69,77.84,77.0,77.84,642479
2024-07-04,77.69,78.0,77.23,77.84,817674
2024-07-05,77.77,78.3,77.3,78.15,936949
2024-07-08,78.15,78.46,77.69,77.92,811004
2024-07-09,77.69,78.07,77.38,78.0,943312
2024-07-10,77.92,78.07,77.46,77.69,842639
2024-07-11,77.69,77.84,77.46,77.69,946193
2024-07-12,77.69,78.54,77.46,78.46,890517
2024-07-15,78.77,80.61,78.77,80.15,1152511
2024-07-16,80.3,81.15,79.84,81.15,813327
2024-07-17,81.15,81.54,79.38,81.15,873686
2024-07-18,81.15,81.3,79.38,81.3,999822
2024-07-19,81.46,81.54,80.38,81.23,840698
2024-07-22,80.61,81.15,80.38,81.0,741575
2024-07-23,81.15,81.54,80.46,81.54,789656
2024-07-24,81.46,83.0,81.15,83.0,807145
2024-07-25,82.61,83.0,81.92,83.0,817008
2024-07-26,82.77,83.0,81.92,82.92,632176
2024-07-29,82.92,83.0,81.61,81.69,627526
2024-07-30,81.61,81.92,80.38,81.07,689799
2024-07-31,81.15,81.77,80.84,81.46,429594
2024-08-01,81.84,82.3,80.07,80.15,780097
2024-08-02,79.84,80.61,78.3,80.61,625760
2024-08-05,80.0,80.0,75.54,76.84,881750
2024-08-06,76.84,79.23,76.84,77.3,415933
2024-08-07,77.07,77.3,75.54,76.38,734007
2024-08-08,76.0,76.92,74.61,76.38,629081
2024-08-09,76.38,77.69,76.15,77.61,491939
2024-08-12,77.61,78.38,76.07,77.77,569960
2024-08-13,77.0,79.46,76.92,79.07,439869
2024-08-14,79.38,79.38,77.84,78.84,476624
2024-08-15,79.15,79.15,78.15,79.07,574637
2024-08-16,79.38,81.54,78.46,80.77,1083442
2024-08-19,81.0,81.46,80.15,80.77,496865
2024-08-20,80.92,81.23,79.92,81.07,558874
2024-08-21,80.92,81.3,79.92,80.69,586524
2024-08-22,80.77,81.0,79.84,80.38,593020
2024-08-23,80.54,80.54,79.84,80.38,584835
2024-08-26,80.38,80.77,80.0,80.38,648948
2024-08-27,80.38,80.61,79.92,80.0,684918
2024-08-28,80.15,80.15,79.54,79.84,746969
2024-08-29,79.84,80.61,79.46,80.54,744821
2024-08-30,80.69,81.15,80.54,81.0,779280
2024-09-04,80.3,80.77,79.23,80.23,619139
2024-09-05,80.0,80.77,79.23,79.84,772860
2024-09-06,80.0,80.61,79.15,79.84,772207
2024-09-09,80.0,80.0,78.54,79.23,685346
2024-09-10,79.54,80.61,79.46,80.15,778154
2024-09-11,80.15,81.38,79.92,80.77,892351
2024-09-12,81.15,81.3,80.61,81.0,626756
2024-09-13,81.15,81.15,79.84,80.61,669938
2024-09-16,80.69,80.92,79.54,80.0,773344
2024-09-17,80.0,80.77,79.69,80.77,842779
2024-09-18,80.77,81.15,80.15,80.84,829786
2024-09-19,80.77,80.92,80.46,80.84,771100
2024-09-20,80.92,81.07,80.23,80.92,1228088
2024-09-23,81.0,81.15,80.38,80.77,564204
2024-09-24,80.77,80.92,80.38,80.84,694821
2024-09-25,81.0,81.0,80.15,80.46,863266
2024-09-26,80.54,80.84,80.15,80.84,938544
2024-09-27,80.92,81.0,80.0,80.84,706306
2024-09-30,80.84,80.92,80.23,80.77,638159
2024-10-01,80.77,81.15,80.61,81.0,791819
2024-10-02,80.84,81.0,79.84,80.77,659703
2024-10-03,80.77,81.61,80.46,81.15,794119
2024-10-04,81.23,81.3,80.61,81.0,738811
2024-10-07,81.0,81.15,80.0,80.77,661724
2024-10-08,80.77,80.92,80.0,80.61,774655
2024-10-09,80.61,81.46,80.07,81.23,891197
2024-10-10,81.23,81.54,80.46,81.54,2029529
2024-10-11,81.61,84.23,81.54,83.77,1405690
2024-10-14,83.84,84.15,81.54,82.54,1104877
2024-10-15,82.54,82.61,81.0,81.46,921457
2024-10-16,81.15,81.46,79.84,81.38,814510
2024-10-17,81.38,81.38,80.15,81.0,771135
2024-10-18,81.0,81.92,80.3,81.92,997362
2024-10-21,81.3,81.3,80.23,81.23,827254
2024-10-22,81.07,81.07,80.15,80.15,790671
2024-10-23,80.15,80.77,79.92,80.3,776396
2024-10-24,80.38,80.38,79.69,80.15,771449
2024-10-25,80.15,80.23,79.54,80.15,735015
2024-10-28,80.15,80.15,79.15,79.69,774282
2024-10-29,79.77,80.0,79.38,79.92,694863
2024-10-30,79.92,80.0,79.23,79.92,721210
2024-10-31,79.84,80.77,79.61,80.77,752495
2024-11-01,80.69,80.69,79.61,80.54,646058
2024-11-04,80.54,80.54,79.54,80.0,725065
2024-11-05,80.0,80.07,78.92,79.61,727637
2024-11-06,79.69,80.77,79.3,80.69,696915
2024-11-07,80.77,80.77,80.07,80.23,649040
2024-11-08,80.23,80.46,79.61,80.46,691491
2024-11-11,80.46,80.61,79.54,80.38,687360
2024-11-12,80.38,80.77,79.3,80.38,714534
2024-11-13,80.07,80.3,79.23,79.69,705204
2024-11-14,79.69,79.77,78.54,79.46,665321
